DATE,HOUSE #,STREET,OVER FLOW,NOT OUT,NOT AT CURB,DETAILS,,
1/1/18,8300,GLENROTHES BLVD,,x,,,,
1/1/18,2312 #2,BRADFORD ST,,x,,,,
1/2/18,100,BONA RD,,x,,,,
1/2/18,113,BUTLER DR,,x,,,,
1/2/18,125,E GLENWOOD AVE,,x,,,,
1/2/18,201,ANDERSON AVE,,X,,,,
1/2/18,208,DALTON PLACE WAY,x,,,,,
1/2/18,216,HIDELL RD,x,,,,,
1/2/18,227,DOUGLAS AVE,x,,,,,
1/2/18,301,AULT ST,,x,,,,
1/2/18,309,FORESTAL DR,,x,,,,
1/2/18,317,E SPRINGDALE AVE,,x,,,,
1/2/18,361,HIAWASSEE AVE,,x,,,,
1/2/18,409,ANTEELAH TRL,,x,,,,
1/2/18,421,HIGGINS AVE,,x,,,,
1/2/18,450,E OKLAHOMA AVE,,x,,,,
1/2/18,506,OGLEWOOD AVE,,x,,,,
1/2/18,520,S BEAMAN ST,,x,,,,
1/2/18,601,W FORD VALLEY RD,,x,,,,
1/2/18,615,LOOKOUT CT,,X,,,,
1/2/18,701,FOREST VIEW RD,,x,,,,
1/2/18,712,VANOSDALE RD,,x,,,,
1/2/18,725,CESSNA RD,,x,,,,
1/2/18,801,BLUFF DR,,,,,,
1/2/18,812,W ANDERSON AVE,,x,,,,
1/2/18,841,BENNETT PL,x,,,,,
1/2/18,910,GERTRUDE AVE,,x,,,,
1/2/18,929,KENESAW AVE,x,,,,,
1/2/18,1004,NORTH THIRD AVE,,x,,,,
1/2/18,1017,PLEASAND KNOLL LN,,x,,,,
1/2/18,1040,W PARKWAY AVE ,,,,,,
1/2/18,1108,HARBIN RIDGE LN,,x,,,,
1/2/18,1120,FAIRFAX AVE,,x,,,,
1/2/18,1168,ARMSTRONG AVE,x,,,,,
1/2/18,1213,PILLEAUX DR,,x,,,,
1/2/18,1243,GRENOBLE DR,,x,,,,
1/2/18,1309,JOY RD ,,x,,3 apartments ,,
1/2/18,1326,BEAUMONT AVE,,,,car blocking ,,
1/2/18,1409,CHICAGO AVE,x,,,car parts ,,
1/2/18,1426,N 4TH AVE,x,,,,,
1/2/18,1512,BANYAN LN,,x ,,,,
1/2/18,1537,HOLMAN RD,x ,,,,,
1/2/18,1612,N HILLS BLVD,,,,bag on ground ,,
1/2/18,1635,JEFFERSON AVE,,x,,,,
1/2/18,1708,AULT RD,,x,,,,
1/2/18,1721,DONINGHAM DR,,x,,,,
1/2/18,1801,CHARLES DR,,x,,,,
1/2/18,1831,MELROSE AVE,,x,,,,
1/2/18,1910,MISSISSIPPI AVE,,x,,,,
1/2/18,1929,WOODBINE AVE,,x ,,,,
1/2/18,2005,AILOR AVE,x ,,,,,
1/2/18,2019,HIGHLAND DR,,x,,,,
1/2/18,2100,HIGHLAND DR,,x,,,,
1/2/18,2115,COKER AVE,,x,,,,
1/2/18,2149,DANDRIDGE AVE,x ,,,,,
1/2/18,2213,BERNHURST DR,,,x ,,,
1/2/18,2237,WOODROW DR,,x ,,,,
1/2/18,2307,LAWSON AVE,,x ,,,,
1/2/18,2321,SUN VALLEY RD,,x ,,,,
1/2/18,2400,KANTEBURY DR,x ,,,,,
1/2/18,2420,LINDEN AVE,,x,,,,
1/2/18,2459,BROOKS AVE,,x,,,,
1/2/18,2516,HOLBROOK DR,,x,,,,
1/2/18,2600,FENWOOD DR,x ,,,,,
1/2/18,2626,BARTON ST,,x,,,,
1/2/18,2714,SUMMIT AVE,,,,building material ,,
1/2/18,2807,PRUDEN DR,,x,,,,
1/2/18,2836,CARSON AVE,,x,,,,
1/2/18,2912,CECIL AVE,x,,,,,
1/2/18,2937,EDGEWOOD AVE,,x,,,,
1/2/18,3022,N HILLS BLVD,,x,,,,
1/2/18,3106,BIRCHWOOD RD,,x,,toilet ,,
1/2/18,3119,CHERRYWOOD RD,x,,,sofa,,
1/2/18,3203,LAUREL VIEW RD,,,,needs new toter ,,
1/2/18,3224,CULPEPPER RD,x ,,,several tv's other items ,,
1/2/18,3310,MONMOUTH ST,,x,,,,
1/2/18,3350,LAKE VIEW DR,x,,,big screen tv at curb ,,
1/2/18,3419,MCDONALD RD,,x,,,,
1/2/18,3510,S HAVEN RD,,,,personal can,,
1/2/18,3610,BUFFAT MILL RD,,x,,,,
1/2/18,3710,EAKERS ST,,x,,,,
1/2/18,3808,KNOX LN,x,,,,,
1/2/18,3854,SEQUOYAH AVE,,x,,,,
1/2/18,3926,FOREST GLEN DR,x ,,x,pic every week ,,
1/2/18,4016,GUMWOOD LN,,x,,,,
1/2/18,4106,TAZEWELL PIKE,,x,,,,
1/2/18,4137,LARIGO DR,,x,,,,
1/2/18,4210,ROBERT LOVE DR,x ,,,,,
1/2/18,4264,VALENVCIA RD ,,x,,,,
1/2/18,4311,VALLEY VIEW DR,,x,,,,
1/2/18,4345,LARIGO DR,,x ,,,,
1/2/18,4412,GREENFERN WAY,,x,,,,
1/2/18,4504,BARBARA DR,,x,,,,
1/2/18,4600,Florence Rd,,x,,,,
1/2/18,4621,NEWCOM AVE,,x,,,,
1/2/18,4716,BUFFAT MILL RD,,x,,,,
1/2/18,4809,JULIAN ST,,x,,,,
1/2/18,4908,HOLSTON DR,x,,,ex trash and pallets ,,
1/2/18,5000,NORWIND LN,,x,,,,
1/2/18,5027,DOVEWOOD WAY,x,,,,,
1/2/18,5118,EVELYN DR,,x,,,,
1/2/18,5212,ASHEVILLE HWY,,x,,,,
1/2/18,5304,TRACE MANOR LN,,x,,,,
1/2/18,5332,AVERY WOODS LN,,x,,,,
1/2/18,5412,MAYWOOD RD,,x,,,,
1/2/18,5501,CRESTWOOD DR,x,,,move out,,
1/2/18,5516,PAULA RD,,x,,,,
1/2/18,5609,LAKE SHORE DR,,x,,,,
1/2/18,5657,EAGLE CREST LN,,x,,,,
1/2/18,5712,WOODED ACRES DR,,x,,,,
1/2/18,5804,MONDALE RD,,,X,,,
1/2/18,5836,METROPOLITAN WAY,,x,,,,
1/2/18,5915,BARBADOS LN,,x,,,,
1/2/18,5979,WESTMERE DR,,x,,,,
1/2/18,6023,FOUNTAIN RD,,x,,,,
1/2/18,6116,BURLWOOD RD,,x,,,,
1/2/18,6305,TAMWORTH LN,,x,,,,
1/2/18,6512,TEWKSBURY DR,,,x,,,
1/2/18,6705,FERN MEADOW WAY,,x,,,,
1/2/18,6839,DORCHESTER DR,,,,blocked by gray car,,
1/2/18,7013,DOWNING DR,,x,,cart swap needed,,
1/2/18,7114,ROTHERWOOD DR,,x,,,,
1/2/18,7227,ASHBURTON DR,x,,,,,
1/2/18,7342,MANDERLY WAY,,x,,,,
1/2/18,7524,LUSCOMBE DR,,x,,,,
1/2/18,7717,SABRE DR,,x,,,,
1/2/18,7914,GLEASON DR,,X,,,,
1/2/18,8029,HAYDEN DR,,x,,,,
1/2/18,8300,ALEXANDER CAVET DR,,x,,,,
1/2/18,2326 B,CEDAR LN,,x,,,,
1/3/18,100,GREENBRIER DR,,x,,,,
1/3/18,113,DRINNEN AVE,,x,,,,
1/3/18,125,GILBERT LN,,x,,,,
1/3/18,201,BLACK OAK DR,,X,,,,
1/3/18,208,DOUGHTY DR,x,,,,,
1/3/18,216,JERRY LN,x,,,,,
1/3/18,227,E BURWELL AVE,,x,,,,
1/3/18,301,AVENUE B,x,,,,,
1/3/18,309,GRANDIN RD,,x,,,,
1/3/18,317,EAST GLENWOOD AVE,,x,,,,
1/3/18,362,NASH RD,,x,,,,
1/3/18,409,BOXWOOD SQ,,x,,,,
1/3/18,421,HIGHLAND HILLS RD,,x,,,,
1/3/18,451,BRIDGE VIEW LN,,x,,,,
1/3/18,507,ALANDALE DR,x,,,,,
1/3/18,520,STONE PONY LN,,x,,,,
1/3/18,601,W HILLS RD,x,,,,,
1/3/18,615,OAKHURST DR,X,,,,,
1/3/18,701,GREENSBORO WAY,,x,,,,
1/3/18,712,WACO RD,x,,,,,
1/3/18,725,DEERY ST,,x,,,,
1/3/18,801,CARRINGTON RD,X,,,,,
1/3/18,812,W HILLS RD,,x,,,,
1/3/18,841,CHEROKEE BLVD,,x,,,,
1/3/18,910,GRATZ ST,,x,,,,
1/3/18,929,KEOWEE AVE,,x,,,,
1/3/18,1004,OAKLETT DR,x,,,,,
1/3/18,1017,VEE LN,x,,,,,
1/3/18,1040,GRONER DR,,x,,,,
1/3/18,1108,HIAWASSEE AVE,,x,,,,
1/3/18,1120,FORSYTHE ST,,,,,,
1/3/18,1172,KEOWEE AVE,,x,,,,
1/3/18,1213,RYAN PL,,x,,,,
1/3/18,1244,HARBIN RIDGE LN,,x,,,,
1/3/18,1309,MORRELL RD,,x,,,,
1/3/18,1326,BROOKSIDE AVE,,x,,,,
1/3/18,1409,COESTA CIR,,x,,,,
1/3/18,1427,CREEKWOOD DR,x,,,,,
1/3/18,1512,BONITA DR,,x ,,,,
1/3/18,1537,MARCONI DR,,x,,,,
1/3/18,1613,BANYAN LN,,,,personal can out,,
1/3/18,1635,WASHINGTON AVE,,x,,,,
1/3/18,1708,BONITA DR,,x,,,,
1/3/18,1721,EARL AVE,x ,,,,,
1/3/18,1801,EAST GLENWOOD AVE,,x,,,,
1/3/18,1831,WONDERLAND LN,,x,,,,
1/3/18,1910,PROSPECT PL,,x,,,,
1/3/18,1929,BELCARO DR,x,,x ,blocked by grey dodge extra toter ,,
1/3/18,2005,BRADSHAW GARDEN DR,x ,,,,,
1/3/18,2019,NADINE ST,,x ,,,,
1/3/18,2100,HOUSTONIA DR,,x,,,,
1/3/18,2115,EDGEWOOD AVE,,x,,,,
1/3/18,2150,MAPLEWOOD DR,x ,,,building mat,,
1/3/18,2213,CAVALCADE RD,,x,,,,
1/3/18,2237,WOODS-SMITH RD,,x ,,,,
1/3/18,2307,SAN LUCKI WAY,,x ,,,,
1/3/18,2321,TORI RD,,x,,,,
1/3/18,2400,MAPLE CREST LN,,x ,,,,
1/3/18,2420,LINDEN AVE,,x,,,,
1/3/18,2459,MAPLE CREST LN,,x,,,,
1/3/18,2516,KEITH AVE,,x,,,,
1/3/18,2600,HAWK CREST LN,,x,,,,
1/3/18,2626,GLENVIEW DR,,x,,,,
1/3/18,2714,AVONDALE AVE,,,x ,,,
1/3/18,2807,SEVIER AVE,s,,,sofa ,,
1/3/18,2836,EDONIA DR,x ,,,"trash on ground, bags and cardboard",,
1/3/18,2912,FORESTDALE AVE,x,,,grill and bookshelf,,
1/3/18,2937,EDGEWOOD AVE,x,,,boxes ,,
1/3/18,3023,FOUNTAIN PARK BLVD,x ,,,"trash on ground,bags and ex personal can",,
1/3/18,3106,BORIGHT DR,,x,,,,
1/3/18,3119,CLEARVIEW ST,x,,,boxes ,,
1/3/18,3203,MISTY HILL WAY,,x ,,,,
1/3/18,3224,GARDEN DR,x ,,,mattress ,,
1/3/18,3311,AVONDALE AVE,,x,,,,
1/3/18,3350,ORLANDO ST,,x,,,,
1/3/18,3420,BURWOOD RD,,,,,,
1/3/18,3510,SOUTHWOOD DR,,x,,,,
1/3/18,3610,DELVERTON WAY,,,,boxes,,
1/3/18,3710,GARDEN DR,,x,,,,
1/3/18,3808,NATHANIEL RD ,,x ,,,,
1/3/18,3855,SPEEDWAY CIR,,,x,,,
1/3/18,3926,GREENLEAF AVE,x ,,,,,
1/3/18,4016,REDOAK LN,,x,,,,
1/3/18,4106,THORNWOOD DR,,x ,,,,
1/3/18,4137,MASCARENE RD,,x,,,,
1/3/18,4210,SHANGRI-LA,,x,,,,
1/3/18,4264,BUFFAT MILL RD,,x,,,,
1/3/18,4311,WALNUT RIDGE LN,,x,,,,
1/3/18,4345,W SCARLETT LN,,x ,,,,
1/3/18,4412,KINGSTON PIKE,,x,,,,
1/3/18,4504,EXEMOUTH DR,x,,,ex city can ,,
1/3/18,4600,FULTON DR,x,,,,,
1/3/18,4622,CHAMBLISS AVE,,x,,,,
1/3/18,4716,HOLSTON HILLS RD,,x,,,,
1/3/18,4810,BARBARA DR,,x,,,,
1/3/18,4908,JONQUIL DR,x,,,desk,,
1/3/18,5001,CLOVERDALE LN,,x,,,,
1/3/18,5027,WHITE PETAL WAY,x,,,,,
1/3/18,5118,LONAS DR,,x,,,,
1/3/18,5212,AVERY WOODS LN,,x,,,,
1/3/18,5304,BRAZELTON RD,,x,,,,
1/3/18,5332,JACKSBORO PIKE,,x,,,,
1/3/18,5412,MONTCREST RD,,x,,,,
1/3/18,5501,E SUNSET RD,,x,,,,
1/3/18,5516,SECLUDED WAY,x,,,,,
1/3/18,5609,LAKE SHORE DR,x,,,,,
1/3/18,5658,CROOKED PINE LN,,x,,,,
1/3/18,5712,ACAPULCO AVE,,x,,,,
1/3/18,5804,OUTER DR,,x,,,,
1/3/18,5836,OUTER DR,,x,,,,
1/3/18,5915,LOICE LN,,x,,,,
1/3/18,5979,BEARDEN VIEW LN,,x,,,,
1/3/18,6024,AUTUMN OAKS LN,,x,,,,
1/3/18,6116,FLINT RD,,x,,,,
1/3/18,6305,TENNYSON DR ,,,x,blocked by car ,,
1/3/18,6512,TROUSDALE RD,x,,,,,
1/3/18,6705,SHREWSBURY DR,,x,,,,
1/3/18,6840,AVENSONG LN,x,,,,,
1/3/18,7013,GAINSBOROUGH DR,x,,,two city toters ,,
1/3/18,7114,SHEFFIELD DR,,x,,,,
1/3/18,7227,IRON DUKE WAY,x,,,,,
1/3/18,7342,MANDERLY WAY,,x,,,,
1/3/18,7524,CHATHAM CIR,,x,,,,
1/3/18,7717,TWINING DR,,x,,,,
1/3/18,7914,GLEASON DR,,X,,,,
1/3/18,8030,ELLISVILLE LN,,x,,,,
1/3/18,8300,BENNINGTON DR,,x,,,,
1/3/18,2326 B,CEDAR LN,,x,,,,
1/4/18,100,HERRON DR,,x,,,,
1/4/18,113,GILL AVE,,x,,,,
1/4/18,125,KEEBLE AVE,,x,,,,
1/4/18,201,BUSBEE RD,,X,,,,
1/4/18,208,DRY GAP PIKE,,x,,,,
1/4/18,216,LOCUST HILL LN,,x,,,,
1/4/18,227,E CHURCHWELL AVE,x,,,,,
1/4/18,301,AVENUE C,,x,,,,
1/4/18,309,GRATA RD,,x,,,,
1/4/18,317,ELMWOOD DR,,x,,,,
1/4/18,362,NASH RD,,x,,not at the curb- they never set at curb,,
1/4/18,409,BRIDGE VIEW LN,,x,,,,
1/4/18,421,KITUWAH TRL,,x,,,,
1/4/18,451,W HILLVALE TURN,,x,,,,
1/4/18,507,BEN HUR AVE,,x,,,,
1/4/18,520,TALIWA DR,,x,,,,
1/4/18,601,WATAUGA AVE,,x,,,,
1/4/18,615,RADFORD PL,X,,,,,
1/4/18,701,GRESHAM RD,,x,,,,
1/4/18,712,WESTBOROUGH RD,,x,,,,
1/4/18,725,DELAPP DR,,x,,,,
1/4/18,801,CENTEROAK DR,,X,,,,
1/4/18,812,WESTBOROUGH RD,,x,,,,
1/4/18,841,FORSYTHE ST,,x,,,,
1/4/18,910,GRAVES ST,,x,,,,
1/4/18,929,LEDGERWOOD AVE,,x,,,,
1/4/18,1004,OGLEWOOD AVE,,x,,,,
1/4/18,1017,WEST PARK DR,,x,,,,
1/4/18,1040,HAYSLOPE DR,,,,,,
1/4/18,1108,LECONTE RD,,x,,,,
1/4/18,1120,GRONER DR,x,,,,,
1/4/18,1172,KEOWEE AVE,,x,,,,
1/4/18,1213,STILLWELL DR,,x,,,,
1/4/18,1244,HARBIN RIDGE LN,,x,,,,
1/4/18,1309,N BRISCOE CIR,,x,,,,
1/4/18,1326,N BRISCOE CIR,,,,over bulk limit ,,
1/4/18,1409,DUTCH VALLEY DR,x,,,,,
1/4/18,1427,EXETER AVE,,,,construction material in toter ,,
1/4/18,1512,BOYD ST,,x ,,,,
1/4/18,1537,MISSISSIPPI AVE,,x,,,,
1/4/18,1613,FOREST AVE,x ,,,,,
1/4/18,1635,JEFFERSON AVE,x ,,,,,
1/4/18,1708,CHARLES DR,,x,,,,
1/4/18,1721,FAY ST,,x,,,,
1/4/18,1801,FRANCIS RD,,x,,,,
1/4/18,1831,ELMHURST WAY,,x ,,,,
1/4/18,1910,W GILBERT LN,,x,,,,
1/4/18,1929,CHEROKEE BLUFF DR,,x ,,,,
1/4/18,2005,CHICAGO AVE,,x,,,,
1/4/18,2019,NORTH PARK BLVD,,x ,,,,
1/4/18,2100,JEFFERSON AVE,,x ,,,,
1/4/18,2115,FLAGLER RD,,x,,,,
1/4/18,2150,WILLOW CREEK LN,x ,,,extra bags ,,
1/4/18,2213,CROYDON RD,x ,,,,,
1/4/18,2237,ADAIR AVE,,x ,,,,
1/4/18,2307,SUZU WAY,,x ,,,,
1/4/18,2321,ANTIETAM RD,x ,,,mattress ,,
1/4/18,2400,MCCROSKEY AVE,x ,,,couch in ditch ,,
1/4/18,2420,MCCROSKEY AVE,,x,,,,
1/4/18,2460,BRIERBROOK LN,,x,,,,
1/4/18,2516,MAPLE BRANCH LN,,x,,,,
1/4/18,2600,KEYSTONE AVE,,x ,,4002 thur 4007,,
1/4/18,2626,KEYSTONE AVE,,x,,,,
1/4/18,2714,BARTON ST,,x ,,,,
1/4/18,2807,TECOMA DR,,x,,,,
1/4/18,2836,GIBBS DR,,,x ,,,
1/4/18,2912,GLENDALE RD,,x ,,,,
1/4/18,2937,GASTON AVE,x,,,bags ,,
1/4/18,3023,PINEX LN ,x ,,,move out ,,
1/4/18,3106,BROOKS AVE,,x,,,,
1/4/18,3119,FAIRVIEW ST,,x,,,,
1/4/18,3203,THOMAS HILL WAY,x,,,refilling one can. They both were dumped,,
1/4/18,3224,KENILWORTH LN,,x,,,,
1/4/18,3311,CANARY AVE,,x,,,,
1/4/18,3350,LAKE VIEW DR,,x,,,,
1/4/18,3420,GARDEN DR,,,,white goods,,
1/4/18,3510,TALILUNA AVE,,,,Paint in toter,,
1/4/18,3610,KENILWORTH LN,,x,,,,
1/4/18,3710,GARDEN DR,,x,,,,
1/4/18,3808,OAKWOOD LN,,x,,,,
1/4/18,3855,TALILUNA AVE,,,x,,,
1/4/18,3926,KENILWORTH DR,,x,,A&B,,
1/4/18,4016,SUTHERLAND AVE ,,x,,,,
1/4/18,4106,WOODLAWN PIKE,x,,,,,
1/4/18,4137,DEER CREEK DR,,x,,,,
1/4/18,4210,TERRACE VIEW DR,,x,,,,
1/4/18,4265,HOLLOWAY DR,,x,,,,
1/4/18,4311,WALROCK LN,,,x,,,
1/4/18,4345,LARIGO DR,x,,,toilet ,,
1/4/18,4412,LANDON DR,x,,,,,
1/4/18,4504,HOLSTON HILLS RD,x,,,bags,,
1/4/18,4600,GREENDALE RD,x,,,,,
1/4/18,4622,MILDRED DR,,x,,,,
1/4/18,4717,BARBARA DR,,x,,,,
1/4/18,4810,BRADSHAW RD,,x,,,,
1/4/18,4908,LONAS DR,x,,,ex trash and bags ,,
1/4/18,5001,ELIZABETH RD,,x,,,,
1/4/18,5027,DOVEWOOD WAY,,,x,,,
1/4/18,5118,CUMBERLAND WOOD DR,,x,,,,
1/4/18,5212,BALL CAMP PIKE,,x,,,,
1/4/18,5304,BRIERCLIFF RD,,x,,,,
1/4/18,5333,GAINESWOOD RD,,x,,,,
1/4/18,5412,OAK HARBOR LN,,x,,,,
1/4/18,5501,GREEN VALLEY DR,x,,,remodel,,
1/4/18,5516,SUMMITRIDGE LN,,x,,,,
1/4/18,5609,LYONS VIEW PIKE,,x,,,,
1/4/18,5658,CROOKED PINE LN,,x,,,,
1/4/18,5712,ASTER RD,,x,,,,
1/4/18,5804,PINE NEEDLE LN,,x,,,,
1/4/18,5836,SOLAR DR,,x,,,,
1/4/18,5916,ANTIGUA LN,,,,boxes and bags,,
1/4/18,5981,KATRINA LN,,x,,,,
1/4/18,6024,GLENMAY DR,,x,,,,
1/4/18,6116,GLENMAY DR,,x,,,,
1/4/18,6305,CADBURY DR,x,,,extra bags,,
1/4/18,6512,WESTSIDE DR,,x,,extra bags,,
1/4/18,6705,TROUSDALE RD,,x,,,,
1/4/18,6840,AVENSONG LN,,x,,,,
1/4/18,7013,NORTHSHORE DR,,x,,,,
1/4/18,7114,ASHBURTON DR,,x,,,,
1/4/18,7227,RUTGERS DR,x,,,couch ,,
1/4/18,7343,KENNON PARK LN,x,,,personal can ,,
1/4/18,7524,DEANE HILL DR,,x,,,,
1/4/18,7717,VILLAGE DR,,x,,,,
1/4/18,7914,GLEASON DR,,X,,,,
1/4/18,8030,PEPPERDINE WAY,,x,,,,
1/4/18,8300,GLENROTHES BLVD,,x,,,,
1/4/18,2404 B,SHERROD RD,,x,,,,
1/5/18,100,MCCAMEY RD,,x,,,,
1/5/18,113,HERRON DR,,x,,,,
1/5/18,125,LEONARD PL,,x,,,,
1/5/18,201,CAMPUS LN,,X,,,,
1/5/18,208,FERN ST,,x,,,,
1/5/18,216,LYNNVIEW DR,,x,,,,
1/5/18,227,E OAK HILL AVE,,x,,,,
1/5/18,301,BEECHWOOD DR,,x,,,,
1/5/18,309,IROQUOIS DR,x,,,,,
1/5/18,317,GRANDVIEW DR,,x,,,,
1/5/18,363,RIGGS AVE,,x,,,,
